route_no,stop_sequence,stop_name,latitude,longitude
251G,36,Huruli Chikkanahalli,13.1158077903,77.482730085
251G,37,Thirumalapura Gate,13.1254122779,77.483583279
251G,38,Hesaraghatta TB Cross,13.1306730578049,77.4844754915283
251G,39,Ivara Kondapura,13.1375332684483,77.4944154925571
251G,40,Matkuru Cross,13.1431455277517,77.5023082907734
251G,41,Muthkur Hesaraghatta,13.1563662553396,77.5092377468672
251M,1,Krishnarajendra Market,12.964049,77.577499
251M,2,Town Hall,12.96393155,77.58425661
251M,3,Corporation,12.9685279448,77.5864692125
251M,4,Cauvery Bhavana,12.972107688,77.5824879762
251M,5,Kempegowda Bus Station,12.978678,77.573219
251M,6,Central,12.9896777496,77.5717054121
251M,7,Malleshwaram Circle,12.9978901319732,77.5713099939793
251M,8,Malleshwaram 8th Cross,12.99966,77.57128
251M,9,Malleshwaram 15th Cross,13.005030714,77.5711547211
251M,10,Malleshwaram 18th Cross,13.0090816878,77.5710476004
251M,11,Tata Institute,13.01565694,77.56289701
251M,12,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
251M,13,Govardhan Talkies,13.01856,77.5532
251M,14,YPR RMC,13.02413089,77.54796652
251M,15,MEI Guragunte Palya,13.02639399,77.54394798
251M,16,Goragunte Palya,13.0286869,77.53990578
251M,17,CMTI Goragunte Palya,13.03046443,77.53663904
251M,18,SRS Jalahalli Cross,13.03422844,77.53034623
251M,19,Peenya 1st stage,13.03541374,77.52633088
251M,20,Jalahalli Cross,13.03825145,77.52110322
251M,21,T Dasarahalli,13.04299089,77.5124183
251M,22,Tumkur Road 8th Mile,13.0460511012537,77.5074918591098
251M,23,Widia School Bagalagunte,13.0511002806152,77.5076984613592
251M,24,Bagalagunte,13.0562517699,77.5073038973
251M,25,Bone Mill,13.063843,77.505073
251M,26,Sapthagiri College Chikka Banawara,13.0668690461258,77.5032413827418
251M,27,Janapriya Apartments,13.0734588211303,77.5030843996981
251M,28,Chikkabanawara Railway Gate,13.0755066779,77.50461163
251M,29,Chikka Banawara Sante Beedi,13.0804893022539,77.5024000363525
251M,30,Chikkabanawara,13.0819034579747,77.5002161861082
251M,31,Dwarka Nagar Chikkabanavara,13.0878809526458,77.4950012881274
251M,32,Soladevana Halli Police Station,13.0934014066581,77.4888072341528
251M,33,Tharabana Halli Hesaraghatta,13.1012202886418,77.4809153643706
251M,34,Tharabana Halli Choultry,13.105492854315,77.4792566056206
251M,35,Thore Nagasandra cross,13.11192,77.48184
251M,36,Huruli Chikkanahalli,13.1158077903,77.482730085
251M,37,Thirumalapura Gate,13.1254122779,77.483583279
251M,38,Hesaraghatta TB Cross,13.1306730578049,77.4844754915283
251M,39,T B Hesaraghatta,13.1355869178826,77.4909272217463
251M,40,TB gate,13.1389050538593,77.4927330422117
251M,41,siemens bank,13.1490795434288,77.4966599884859
251M,42,Work shop,13.1561412805377,77.4983050549853
251M,43,Koli Farm Hesarugatta Road,13.171800592242,77.5026609221092
251M,44,KMF,13.1885459527291,77.5073555562916
251M,45,Govt Hospitals,13.1935946402191,77.5017555737029
251M,46,Sonnenahalli,13.1976937548672,77.5003116436343
251M,47,Karlapura Gate,13.2001719640188,77.4919040321163
251M,48,Karlapura,13.2066767133264,77.4917610276239
251M,49,Karlapura Palya,13.2126581669,77.4957534671
252,1,Kempegowda Bus Station,12.978062,77.572342
252,2,Central,12.9896777496,77.5717054121
252,3,Malleshwaram Circle,12.9978901319732,77.5713099939793
252,4,Malleshwaram 8th Cross,12.99966,77.57128
252,5,Malleshwaram 15th Cross,13.005030714,77.5711547211
252,6,Malleshwaram 18th Cross,13.0090816878,77.5710476004
